                  케鋼댐 (002180),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
      珂쇌,    역턍,    離멕,    離됴,    澗턍,         냥슥좆,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,   MA.MA5   ,   MA.MA6   ,   MA.MA7   ,   MA.MA8   ,VOL-TDX.      ,VOL-TDX.VOLUME,VOL-TDX.MAVOL1,VOL-TDX.MAVOL2, SSRP.SSRP  , SSRP.MA1   , SSRP.MA2   
,,,,,,,,,,,,,,,,,,,,
 2007/12/27,33,38,26.4,34.39,420443,           ,           ,           ,           ,           ,           ,           ,           ,0,420443,           ,           ,32.2,32.2,32.2
 2008/12/31,34.03,38.68,5.32,10,2301984,           ,           ,           ,           ,           ,           ,           ,           ,0,2301984,           ,           ,44.64,34.27,32.85
 2009/12/31,10.14,26.66,9.85,23.26,6000599,           ,           ,           ,           ,           ,           ,           ,           ,0,6000599,           ,           ,41.91,35.54,33.33
 2010/12/31,23.4,24.82,14.5,20.5,3583400,           ,           ,           ,           ,           ,           ,           ,           ,0,3583400,           ,           ,42.13,36.64,33.79
 2011/12/30,20.51,47.1,10.63,11.48,5750344,           ,           ,           ,           ,           ,           ,           ,           ,0,5750344,3611355,           ,42.09,37.55,34.23
 2012/12/31,11.8,17.4,8.15,10.29,6939130,           ,           ,           ,           ,           ,           ,           ,           ,0,6939130,4915091,           ,42.1,38.31,34.64
 2013/12/06,10.43,12.28,7.29,9.3,3952376,           ,           ,           ,           ,           ,           ,           ,           ,0,3952376,5245170,           ,42.1,38.94,35.03
 2014/11/05,10.23,26.05,10.23,23.51,5213753,           ,           ,           ,           ,           ,           ,           ,           ,0,5213753,5087801,           ,42.1,39.47,35.41
 2015/12/31,25.86,74.75,25.86,46.15,3824792,           ,           ,           ,           ,           ,           ,           ,           ,0,3824792,5136079,           ,42.1,39.91,35.76
 2016/12/30,46.16,51.77,24.2,28.12,5458795,           ,           ,           ,           ,           ,           ,           ,           ,0,5458795,5077769,4344562,42.1,40.27,36.09
 2017/12/29,28.1,33.2,20.8,27.31,3600195,           ,           ,           ,           ,           ,           ,           ,           ,0,3600195,4409983,4662537,42.1,40.58,36.41
 2018/12/28,27.5,35.55,20.71,22.92,7998024,           ,           ,           ,           ,           ,           ,           ,           ,0,7998024,5219111,5232141,42.1,40.83,36.71
 2019/12/31,23,36.19,20.54,32.92,17369290,           ,           ,           ,           ,           ,           ,           ,           ,0,17369290,7650219,6369010,42.1,41.04,36.99
 2020/12/31,33.14,49.58,24.93,26.73,40319888,           ,           ,           ,           ,           ,           ,           ,           ,0,40319888,14949237,10042658,42.1,41.22,37.26
 2021/12/31,26.73,50.14,23.08,47.76,23903574,           ,           ,           ,           ,           ,           ,           ,           ,0,23903576,18638194,11857981,42.1,41.37,37.52
 2022/12/30,47.9,58.99,34.2,51.89,19847136,           ,           ,           ,           ,           ,           ,           ,           ,0,19847136,21887582,13148782,42.1,41.49,37.76
 2023/12/29,51.96,57.5,21.28,22.63,22936660,           ,           ,           ,           ,           ,           ,           ,           ,0,22936660,24875310,15047213,42.1,41.59,37.99
 2024/12/31,22.72,33.36,16.65,28.17,33279958,           ,           ,           ,           ,           ,           ,           ,           ,0,33279960,28057446,17853834,42.1,41.67,38.2
 2025/06/27,28.07,29.36,20.88,22.89,18534092,           ,           ,           ,           ,           ,           ,           ,           ,1,18534092,23700284,19324762,42.1,41.75,38.41
#鑒앴윱都:繫댐斤,,,,,,,,,,,,,,,,,,,,
