rank,date,code,name,market,score,pools,signals,data_quality,reason
318,20260701,601628,中国人寿,1,50,qs,strong_pool|volume_expand,ok,"strong_pool, volume_expand"
319,20260701,603019,中科曙光,1,50,qs,strong_pool|volume_expand,ok,"strong_pool, volume_expand"
320,20260701,603033,三维股份,1,50,qs,strong_pool|volume_expand,ok,"strong_pool, volume_expand"
321,20260701,603222,济民健康,1,50,qs,strong_pool|volume_expand,ok,"strong_pool, volume_expand"
322,20260701,603580,艾艾精工,1,50,zb,limit_break_pool|volume_expand|trend_confirmed,ok,"limit_break_pool, volume_expand, trend_confirmed"
323,20260701,603607,京华激光,1,50,qs,strong_pool|volume_expand,ok,"strong_pool, volume_expand"
324,20260701,603610,麒盛科技,1,50,zb,limit_break_pool|volume_expand|trend_confirmed,ok,"limit_break_pool, volume_expand, trend_confirmed"
325,20260701,603956,威派格,1,50,qs,strong_pool|volume_expand,ok,"strong_pool, volume_expand"
326,20260701,603983,丸美生物,1,50,qs,strong_pool|volume_expand,ok,"strong_pool, volume_expand"
327,20260701,605366,宏柏新材,1,50,qs,strong_pool|volume_expand,ok,"strong_pool, volume_expand"
328,20260701,688117,圣诺生物,1,50,qs,strong_pool|volume_expand,ok,"strong_pool, volume_expand"
329,20260701,688202,美迪西,1,50,qs,strong_pool|volume_expand,ok,"strong_pool, volume_expand"
330,20260701,688252,天德钰,1,50,qs,strong_pool|volume_expand,ok,"strong_pool, volume_expand"
331,20260701,688266,泽璟制药-U,1,50,qs,strong_pool|volume_expand,ok,"strong_pool, volume_expand"
332,20260701,688503,聚和材料,1,50,qs,strong_pool|volume_expand,ok,"strong_pool, volume_expand"
333,20260701,001237,惠康科技,0,50,qs,strong_pool|volume_expand,recorded,"strong_pool, volume_expand"
334,20260701,301393,昊帆生物,0,50,qs,strong_pool|volume_expand,recorded,"strong_pool, volume_expand"
335,20260701,301592,六九一二,0,50,qs,strong_pool|volume_expand,recorded,"strong_pool, volume_expand"
336,20260701,603407,长裕集团,1,50,qs,strong_pool|volume_expand,recorded,"strong_pool, volume_expand"
337,20260701,603459,红板科技,1,50,qs,strong_pool|volume_expand,recorded,"strong_pool, volume_expand"
338,20260701,688758,赛分科技,1,50,qs,strong_pool|volume_expand,recorded,"strong_pool, volume_expand"
339,20260701,000068,华控赛格,0,50,zt,limit_up_pool,ok,limit_up_pool
340,20260701,000520,凤凰航运,0,50,zt,limit_up_pool,ok,limit_up_pool
341,20260701,000536,华映科技,0,50,zt,limit_up_pool,ok,limit_up_pool
342,20260701,000601,韶能股份,0,50,zt,limit_up_pool,ok,limit_up_pool
343,20260701,000863,三湘印象,0,50,zt,limit_up_pool,ok,limit_up_pool
344,20260701,001269,欧晶科技,0,50,zt,limit_up_pool,ok,limit_up_pool
345,20260701,002161,远 望 谷,0,50,zt,limit_up_pool,ok,limit_up_pool
346,20260701,002184,海得控制,0,50,zt,limit_up_pool,ok,limit_up_pool
347,20260701,002200,交投生态,0,50,zt,limit_up_pool,ok,limit_up_pool
348,20260701,002232,启明信息,0,50,zt,limit_up_pool,ok,limit_up_pool
349,20260701,002313,日海智能,0,50,zt,limit_up_pool,ok,limit_up_pool
350,20260701,002326,永太科技,0,50,zt,limit_up_pool,ok,limit_up_pool
351,20260701,002329,皇氏集团,0,50,zt,limit_up_pool,ok,limit_up_pool
352,20260701,002440,闰土股份,0,50,zt,limit_up_pool,ok,limit_up_pool
353,20260701,002442,龙星科技,0,50,zt,limit_up_pool,ok,limit_up_pool
354,20260701,002455,百川股份,0,50,zt,limit_up_pool,ok,limit_up_pool
355,20260701,002548,金新农,0,50,zt,limit_up_pool,ok,limit_up_pool
356,20260701,002670,国盛证券,0,50,zt,limit_up_pool,ok,limit_up_pool
357,20260701,002759,天际股份,0,50,zt,limit_up_pool,ok,limit_up_pool
358,20260701,002840,华统股份,0,50,zt,limit_up_pool,ok,limit_up_pool
359,20260701,002868,绿康生化,0,50,zt,limit_up_pool,ok,limit_up_pool
360,20260701,002881,美格智能,0,50,zt,limit_up_pool,ok,limit_up_pool
361,20260701,002940,昂利康,0,50,zt,limit_up_pool,ok,limit_up_pool
362,20260701,002943,宇晶股份,0,50,zt,limit_up_pool,ok,limit_up_pool
363,20260701,002981,朝阳科技,0,50,zt,limit_up_pool,ok,limit_up_pool
364,20260701,002982,湘佳股份,0,50,zt,limit_up_pool,ok,limit_up_pool
365,20260701,300561,汇金科技,0,50,zt,limit_up_pool,ok,limit_up_pool
366,20260701,301279,金道科技,0,50,zt,limit_up_pool,ok,limit_up_pool
367,20260701,600182,S佳通,1,50,zt,limit_up_pool,ok,limit_up_pool
368,20260701,600208,衢州发展,1,50,zt,limit_up_pool,ok,limit_up_pool
369,20260701,600233,圆通速递,1,50,zt,limit_up_pool,ok,limit_up_pool
370,20260701,600446,金证股份,1,50,zt,limit_up_pool,ok,limit_up_pool
371,20260701,600470,六国化工,1,50,zt,limit_up_pool,ok,limit_up_pool
372,20260701,600509,天富能源,1,50,zt,limit_up_pool,ok,limit_up_pool
373,20260701,600658,电子城,1,50,zt,limit_up_pool,ok,limit_up_pool
374,20260701,600665,天地源,1,50,zt,limit_up_pool,ok,limit_up_pool
375,20260701,600724,宁波富达,1,50,zt,limit_up_pool,ok,limit_up_pool
376,20260701,600725,云维股份,1,50,zt,limit_up_pool,ok,limit_up_pool
377,20260701,600784,鲁银投资,1,50,zt,limit_up_pool,ok,limit_up_pool
378,20260701,600845,宝信软件,1,50,zt,limit_up_pool,ok,limit_up_pool
379,20260701,601991,大唐发电,1,50,zt,limit_up_pool,ok,limit_up_pool
380,20260701,603353,和顺石油,1,50,zt,limit_up_pool,ok,limit_up_pool
381,20260701,603360,百傲化学,1,50,zt,limit_up_pool,ok,limit_up_pool
382,20260701,603499,翔港科技,1,50,zt,limit_up_pool,ok,limit_up_pool
383,20260701,603538,美诺华,1,50,zt,limit_up_pool,ok,limit_up_pool
384,20260701,603567,珍宝岛,1,50,zt,limit_up_pool,ok,limit_up_pool
385,20260701,603948,建业股份,1,50,zt,limit_up_pool,ok,limit_up_pool
386,20260701,605155,西大门,1,50,zt,limit_up_pool,ok,limit_up_pool
387,20260701,605189,富春染织,1,50,zt,limit_up_pool,ok,limit_up_pool
388,20260701,605488,福莱新材,1,50,zt,limit_up_pool,ok,limit_up_pool
389,20260701,001365,天海电子,0,50,zt,limit_up_pool,recorded,limit_up_pool
390,20260701,603014,威高血净,1,50,zt,limit_up_pool,recorded,limit_up_pool
391,20260701,000571,新大洲A,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
392,20260701,000970,中科三环,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
393,20260701,002138,顺络电子,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
394,20260701,002272,川润股份,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
395,20260701,002463,沪电股份,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
396,20260701,002636,金安国纪,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
397,20260701,002787,华源控股,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
398,20260701,002859,洁美科技,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
399,20260701,002861,瀛通通讯,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
400,20260701,002871,伟隆股份,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
401,20260701,002916,深南电路,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
402,20260701,002925,盈趣科技,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
403,20260701,002965,祥鑫科技,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
404,20260701,002972,科安达,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
405,20260701,002993,奥海科技,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
406,20260701,300005,探路者,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
407,20260701,300037,新宙邦,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
408,20260701,300083,创世纪,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
409,20260701,300234,开尔新材,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
410,20260701,300260,新莱应材,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
411,20260701,300316,晶盛机电,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
412,20260701,300331,苏大维格,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
413,20260701,300373,扬杰科技,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
414,20260701,300382,斯莱克,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
415,20260701,300420,五洋自控,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
416,20260701,300429,强力新材,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
417,20260701,300440,运达科技,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
418,20260701,300475,香农芯创,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
419,20260701,300502,新易盛,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
420,20260701,300604,长川科技,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
421,20260701,300661,圣邦股份,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
422,20260701,300666,江丰电子,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
423,20260701,300689,澄天伟业,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
424,20260701,300706,阿石创,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
425,20260701,300786,国林科技,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
426,20260701,300868,杰美特,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
427,20260701,300964,本川智能,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
428,20260701,300975,商络电子,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
429,20260701,300985,致远新能,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
430,20260701,301018,申菱环境,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
431,20260701,301070,开勒股份,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
432,20260701,301072,中捷精工,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
433,20260701,301099,雅创电子,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
434,20260701,301115,联检科技,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
435,20260701,301308,江波龙,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
436,20260701,301312,智立方,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
437,20260701,301369,联动科技,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
438,20260701,301396,宏景科技,0,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
439,20260701,600160,巨化股份,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
440,20260701,600322,津投城开,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
441,20260701,600459,贵研铂业,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
442,20260701,600584,长电科技,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
443,20260701,600630,龙头股份,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
444,20260701,603163,圣晖集成,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
445,20260701,603358,华达科技,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
446,20260701,603380,易德龙,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
447,20260701,603519,立霸股份,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
448,20260701,603661,恒林股份,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
449,20260701,603687,大胜达,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
450,20260701,603757,大元泵业,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
451,20260701,603823,百合花,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
452,20260701,603989,艾华集团,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
453,20260701,605358,立昂微,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
454,20260701,688003,天准科技,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
455,20260701,688020,方邦股份,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
456,20260701,688028,沃尔德,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
457,20260701,688041,海光信息,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
458,20260701,688045,必易微,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
459,20260701,688048,长光华芯,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
460,20260701,688102,斯瑞新材,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
461,20260701,688110,东芯股份,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
462,20260701,688126,沪硅产业,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
463,20260701,688141,杰华特,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
464,20260701,688147,微导纳米,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
465,20260701,688150,莱特光电,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
466,20260701,688163,赛伦生物,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
467,20260701,688168,安博通,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
468,20260701,688200,华峰测控,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
469,20260701,688268,华特气体,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
470,20260701,688332,中科蓝讯,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
471,20260701,688362,甬矽电子,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
472,20260701,688378,奥来德,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
473,20260701,688392,骄成超声,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
474,20260701,688396,华润微,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
475,20260701,688419,耐科装备,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
476,20260701,688536,思瑞浦,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
477,20260701,688559,海目星,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
478,20260701,688595,芯海科技,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
479,20260701,688630,芯碁微装,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
480,20260701,688661,和林微纳,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
481,20260701,688665,四方光电,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
482,20260701,688981,中芯国际,1,45,qs,strong_pool|trend_confirmed,ok,"strong_pool, trend_confirmed"
483,20260701,001287,中电港,0,45,qs,strong_pool|trend_confirmed,recorded,"strong_pool, trend_confirmed"
484,20260701,301611,珂玛科技,0,45,qs,strong_pool|trend_confirmed,recorded,"strong_pool, trend_confirmed"
485,20260701,301629,矽电股份,0,45,qs,strong_pool|trend_confirmed,recorded,"strong_pool, trend_confirmed"
486,20260701,603257,中国瑞林,1,45,qs,strong_pool|trend_confirmed,recorded,"strong_pool, trend_confirmed"
487,20260701,688478,晶升股份,1,45,qs,strong_pool|trend_confirmed,recorded,"strong_pool, trend_confirmed"
488,20260701,688545,兴福电子,1,45,qs,strong_pool|trend_confirmed,recorded,"strong_pool, trend_confirmed"
489,20260701,688549,中巨芯-U,1,45,qs,strong_pool|trend_confirmed,recorded,"strong_pool, trend_confirmed"
490,20260701,688610,埃科光电,1,45,qs,strong_pool|trend_confirmed,recorded,"strong_pool, trend_confirmed"
491,20260701,688627,精智达,1,45,qs,strong_pool|trend_confirmed,recorded,"strong_pool, trend_confirmed"
492,20260701,688702,盛科通信-U,1,45,qs,strong_pool|trend_confirmed,recorded,"strong_pool, trend_confirmed"
493,20260701,688783,西安奕材-U,1,45,qs,strong_pool|trend_confirmed,recorded,"strong_pool, trend_confirmed"
494,20260701,000059,华锦股份,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
495,20260701,000501,武商集团,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
496,20260701,000534,万泽股份,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
497,20260701,000990,诚志股份,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
498,20260701,002042,华孚时尚,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
499,20260701,002076,星光股份,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
500,20260701,002120,韵达股份,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
501,20260701,002173,创新医疗,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
502,20260701,002342,巨力索具,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
503,20260701,002550,千红制药,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
504,20260701,002567,唐人神,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
505,20260701,002885,京泉华,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
506,20260701,002889,东方嘉盛,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
507,20260701,002907,华森制药,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
508,20260701,002908,德生科技,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
509,20260701,002998,优彩资源,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
510,20260701,003020,立方制药,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
511,20260701,003027,同兴科技,0,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
512,20260701,600618,氯碱化工,1,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
513,20260701,600623,华谊集团,1,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
514,20260701,600676,交运股份,1,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
515,20260701,600714,金瑞矿业,1,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
516,20260701,600807,济高发展,1,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
517,20260701,601336,新华保险,1,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
518,20260701,601515,衢州东峰,1,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
519,20260701,601519,大智慧,1,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
520,20260701,603106,恒银科技,1,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
521,20260701,603383,顶点软件,1,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
522,20260701,603717,天域生物,1,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
523,20260701,603880,南卫股份,1,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
524,20260701,603887,城地香江,1,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
525,20260701,688318,财富趋势,1,35,zb,limit_break_pool|volume_expand,ok,"limit_break_pool, volume_expand"
526,20260701,301421,波长光电,0,35,zb,limit_break_pool|volume_expand,recorded,"limit_break_pool, volume_expand"
527,20260701,603285,键邦股份,1,35,zb,limit_break_pool|volume_expand,recorded,"limit_break_pool, volume_expand"
528,20260701,002180,奔图科技,0,30,qs,strong_pool,ok,strong_pool
529,20260701,002568,百润股份,0,30,qs,strong_pool,ok,strong_pool
530,20260701,600063,皖维高新,1,30,zb,limit_break_pool|trend_confirmed,ok,"limit_break_pool, trend_confirmed"
531,20260701,603011,合锻智能,1,30,zb,limit_break_pool|trend_confirmed,ok,"limit_break_pool, trend_confirmed"
532,20260701,603316,诚邦股份,1,30,zb,limit_break_pool|trend_confirmed,ok,"limit_break_pool, trend_confirmed"
533,20260701,920179,凯德石英,0,30,qs,strong_pool,recorded,strong_pool
534,20260701,920367,新赣江,0,30,qs,strong_pool,recorded,strong_pool
535,20260701,920402,硅烷科技,0,30,qs,strong_pool,recorded,strong_pool
536,20260701,920981,晶赛科技,0,30,qs,strong_pool,recorded,strong_pool
537,20260701,002251,步步高,0,15,zb,limit_break_pool,ok,limit_break_pool
538,20260701,600644,乐山电力,1,15,zb,limit_break_pool,ok,limit_break_pool
539,20260701,600903,贵州燃气,1,15,zb,limit_break_pool,ok,limit_break_pool
540,20260701,603393,新天然气,1,15,zb,limit_break_pool,ok,limit_break_pool
541,20260701,603867,新化股份,1,15,zb,limit_break_pool,ok,limit_break_pool
542,20260701,920970,大禹生物,0,15,zb,limit_break_pool,recorded,limit_break_pool
